Time period,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Germany,6.245850646,0.613713962,0.199022592,1.577659537,-0.273899096,0.215144668,5.997682846,2.693348136,6.049343129,-3.633350517,2.932946646,7.517135207,3.820165162,-2.364753129,4.42530115,5.106382161,1.797757335,7.895388835,2.892770575,3.100440688,-7.945617622,3.856990108,1.475499193,3.579549662
Ireland,0.563788955,0.003080323,4.385618928,7.610053991,8.940850653,6.640080658,6.609696559,8.034191859,5.741827965,16.14717479,1.137191947,-0.441685961,2.979884497,1.709172733,3.929520172,-2.683618469,2.553974091,19.04381802,-0.643819299,13.37646034,6.336823405,13.1984889,66.96502398,-3.160004066
Switzerland,2.629062145,,,,4.616075966,,,,3.740217685,,,,1.499826233,,,3.580427437,,1.046707886,,4.398758092,,3.748168542,,1.471522235
