STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,unit,Unit of measure,geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE
dataflow,ESTAT:ISOC_TF(1.0),Fixed broadband internet traffic,A,Annual,GB_SUBSC,Gigabyte per subscription,IE,Ireland,2022,,1189.24
dataflow,ESTAT:ISOC_TF(1.0),Fixed broadband internet traffic,A,Annual,EB,Exabyte,CH,Switzerland,2014,,0.79
dataflow,ESTAT:ISOC_TF(1.0),Fixed broadband internet traffic,A,Annual,EB,Exabyte,CH,Switzerland,2015,,1.62
dataflow,ESTAT:ISOC_TF(1.0),Fixed broadband internet traffic,A,Annual,EB,Exabyte,CH,Switzerland,2016,,2.7
dataflow,ESTAT:ISOC_TF(1.0),Fixed broadband internet traffic,A,Annual,EB,Exabyte,CH,Switzerland,2017,,3.6
dataflow,ESTAT:ISOC_TF(1.0),Fixed broadband internet traffic,A,Annual,EB,Exabyte,CH,Switzerland,2018,,4.37
dataflow,ESTAT:ISOC_TF(1.0),Fixed broadband internet traffic,A,Annual,EB,Exabyte,CH,Switzerland,2019,,5.42
dataflow,ESTAT:ISOC_TF(1.0),Fixed broadband internet traffic,A,Annual,EB,Exabyte,CH,Switzerland,2020,,7.48
dataflow,ESTAT:ISOC_TF(1.0),Fixed broadband internet traffic,A,Annual,EB,Exabyte,CH,Switzerland,2021,,8.71381
dataflow,ESTAT:ISOC_TF(1.0),Fixed broadband internet traffic,A,Annual,EB,Exabyte,CH,Switzerland,2022,,9.00341
dataflow,ESTAT:ISOC_TF(1.0),Fixed broadband internet traffic,A,Annual,EB,Exabyte,CH,Switzerland,2023,,10.01
dataflow,ESTAT:ISOC_TF(1.0),Fixed broadband internet traffic,A,Annual,EB,Exabyte,CH,Switzerland,2024,,11.0835
dataflow,ESTAT:ISOC_TF(1.0),Fixed broadband internet traffic,A,Annual,GB_SUBSC,Gigabyte per subscription,CH,Switzerland,2014,,223.417
dataflow,ESTAT:ISOC_TF(1.0),Fixed broadband internet traffic,A,Annual,GB_SUBSC,Gigabyte per subscription,CH,Switzerland,2015,,437.771
dataflow,ESTAT:ISOC_TF(1.0),Fixed broadband internet traffic,A,Annual,GB_SUBSC,Gigabyte per subscription,CH,Switzerland,2016,,715.058
dataflow,ESTAT:ISOC_TF(1.0),Fixed broadband internet traffic,A,Annual,GB_SUBSC,Gigabyte per subscription,CH,Switzerland,2017,,919.136
dataflow,ESTAT:ISOC_TF(1.0),Fixed broadband internet traffic,A,Annual,GB_SUBSC,Gigabyte per subscription,CH,Switzerland,2018,,1125.16
dataflow,ESTAT:ISOC_TF(1.0),Fixed broadband internet traffic,A,Annual,GB_SUBSC,Gigabyte per subscription,CH,Switzerland,2019,,1346.95
dataflow,ESTAT:ISOC_TF(1.0),Fixed broadband internet traffic,A,Annual,GB_SUBSC,Gigabyte per subscription,CH,Switzerland,2020,,1862.43
dataflow,ESTAT:ISOC_TF(1.0),Fixed broadband internet traffic,A,Annual,GB_SUBSC,Gigabyte per subscription,CH,Switzerland,2021,,2087.42
dataflow,ESTAT:ISOC_TF(1.0),Fixed broadband internet traffic,A,Annual,GB_SUBSC,Gigabyte per subscription,CH,Switzerland,2022,,2193.96
dataflow,ESTAT:ISOC_TF(1.0),Fixed broadband internet traffic,A,Annual,GB_SUBSC,Gigabyte per subscription,CH,Switzerland,2023,,2409.34
dataflow,ESTAT:ISOC_TF(1.0),Fixed broadband internet traffic,A,Annual,GB_SUBSC,Gigabyte per subscription,CH,Switzerland,2024,,2642.0
