Time period,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Germany,3.996120037,2.502858705,1.107865255,-1.654181922,1.658245832,4.134366227,3.225417796,2.81722863,8.4048217,4.20684866,3.524571322,4.706091804,1.874061315,2.548354274,1.932689094,-0.393122659,0.622153366,4.456761684,3.14313818,3.940419313,1.981170925,4.694816348,B ..,-1.129421359
Ireland,40.01085675,1.803228752,14.53970551,-2.151588896,8.077261518,5.150020859,-3.306808222,11.20060718,0.68571034,-14.37241589,-4.925310516,1.633753202,-2.305468945,-3.562254332,0.746505291,-4.030378408,-2.09640234,5.102445703,10.35622502,0.409087618,2.501603268,1.067150901,-1.842583719,-3.470298188
Switzerland,B ..,,-0.359298607,,-0.731830266,,-8.818176966,,-1.876552525,,1.670525059,,5.541564716,,17.41093131,3.035822102,,-1.99889787,,7.361948082,,3.563488627,0.743579849,-1.30625196
