STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,offer,Type of offer,unit,Unit of measure,geo,Geopolitical entity (reporting),TIME_PERIOD,OBS_VALUE
dataflow,ESTAT:ISOC_PBO$DEFAULTVIEW(1.0),Mobile and fixed broadband internet prices by type of offer (least expensive),A,Annual,MI_GB20_C300,Mobile internet - mobile data 20 GB with 300 calls,PPP_EUR,Purchasing power parities (PPP) in euro,DE,Germany,2023,20.64
dataflow,ESTAT:ISOC_PBO$DEFAULTVIEW(1.0),Mobile and fixed broadband internet prices by type of offer (least expensive),A,Annual,MI_GB20_NC,Mobile internet - mobile data 20 GB with no calls,PPP_EUR,Purchasing power parities (PPP) in euro,DE,Germany,2019,26.13
dataflow,ESTAT:ISOC_PBO$DEFAULTVIEW(1.0),Mobile and fixed broadband internet prices by type of offer (least expensive),A,Annual,MI_GB20_NC,Mobile internet - mobile data 20 GB with no calls,PPP_EUR,Purchasing power parities (PPP) in euro,DE,Germany,2020,14.96
dataflow,ESTAT:ISOC_PBO$DEFAULTVIEW(1.0),Mobile and fixed broadband internet prices by type of offer (least expensive),A,Annual,MI_GB20_NC,Mobile internet - mobile data 20 GB with no calls,PPP_EUR,Purchasing power parities (PPP) in euro,DE,Germany,2021,16.05
dataflow,ESTAT:ISOC_PBO$DEFAULTVIEW(1.0),Mobile and fixed broadband internet prices by type of offer (least expensive),A,Annual,MI_GB20_NC,Mobile internet - mobile data 20 GB with no calls,PPP_EUR,Purchasing power parities (PPP) in euro,DE,Germany,2022,19.88
dataflow,ESTAT:ISOC_PBO$DEFAULTVIEW(1.0),Mobile and fixed broadband internet prices by type of offer (least expensive),A,Annual,MI_GB20_NC,Mobile internet - mobile data 20 GB with no calls,PPP_EUR,Purchasing power parities (PPP) in euro,DE,Germany,2023,19.73
dataflow,ESTAT:ISOC_PBO$DEFAULTVIEW(1.0),Mobile and fixed broadband internet prices by type of offer (least expensive),A,Annual,FI_MBPS100-200,Fixed internet 100-200 Mbps,PPP_EUR,Purchasing power parities (PPP) in euro,IE,Ireland,2019,36.51
dataflow,ESTAT:ISOC_PBO$DEFAULTVIEW(1.0),Mobile and fixed broadband internet prices by type of offer (least expensive),A,Annual,FI_MBPS100-200,Fixed internet 100-200 Mbps,PPP_EUR,Purchasing power parities (PPP) in euro,IE,Ireland,2020,38.27
dataflow,ESTAT:ISOC_PBO$DEFAULTVIEW(1.0),Mobile and fixed broadband internet prices by type of offer (least expensive),A,Annual,FI_MBPS100-200,Fixed internet 100-200 Mbps,PPP_EUR,Purchasing power parities (PPP) in euro,IE,Ireland,2021,38.35
dataflow,ESTAT:ISOC_PBO$DEFAULTVIEW(1.0),Mobile and fixed broadband internet prices by type of offer (least expensive),A,Annual,FI_MBPS100-200,Fixed internet 100-200 Mbps,PPP_EUR,Purchasing power parities (PPP) in euro,IE,Ireland,2022,33.36
dataflow,ESTAT:ISOC_PBO$DEFAULTVIEW(1.0),Mobile and fixed broadband internet prices by type of offer (least expensive),A,Annual,FI_MBPS100-200,Fixed internet 100-200 Mbps,PPP_EUR,Purchasing power parities (PPP) in euro,IE,Ireland,2023,29.44
dataflow,ESTAT:ISOC_PBO$DEFAULTVIEW(1.0),Mobile and fixed broadband internet prices by type of offer (least expensive),A,Annual,FI_MBPS100-200_P,Package - fixed internet 100-200 Mbps with fixed phone,PPP_EUR,Purchasing power parities (PPP) in euro,IE,Ireland,2019,49.04
dataflow,ESTAT:ISOC_PBO$DEFAULTVIEW(1.0),Mobile and fixed broadband internet prices by type of offer (least expensive),A,Annual,FI_MBPS100-200_P,Package - fixed internet 100-200 Mbps with fixed phone,PPP_EUR,Purchasing power parities (PPP) in euro,IE,Ireland,2020,47.31
dataflow,ESTAT:ISOC_PBO$DEFAULTVIEW(1.0),Mobile and fixed broadband internet prices by type of offer (least expensive),A,Annual,FI_MBPS100-200_P,Package - fixed internet 100-200 Mbps with fixed phone,PPP_EUR,Purchasing power parities (PPP) in euro,IE,Ireland,2021,46.24
dataflow,ESTAT:ISOC_PBO$DEFAULTVIEW(1.0),Mobile and fixed broadband internet prices by type of offer (least expensive),A,Annual,FI_MBPS100-200_P,Package - fixed internet 100-200 Mbps with fixed phone,PPP_EUR,Purchasing power parities (PPP) in euro,IE,Ireland,2022,41.69
dataflow,ESTAT:ISOC_PBO$DEFAULTVIEW(1.0),Mobile and fixed broadband internet prices by type of offer (least expensive),A,Annual,FI_MBPS100-200_P,Package - fixed internet 100-200 Mbps with fixed phone,PPP_EUR,Purchasing power parities (PPP) in euro,IE,Ireland,2023,37.38
dataflow,ESTAT:ISOC_PBO$DEFAULTVIEW(1.0),Mobile and fixed broadband internet prices by type of offer (least expensive),A,Annual,FI_MBPS100-200_PTV,Package - fixed internet 100-200 Mbps with fixed phone and TV,PPP_EUR,Purchasing power parities (PPP) in euro,IE,Ireland,2019,68.4
dataflow,ESTAT:ISOC_PBO$DEFAULTVIEW(1.0),Mobile and fixed broadband internet prices by type of offer (least expensive),A,Annual,FI_MBPS100-200_PTV,Package - fixed internet 100-200 Mbps with fixed phone and TV,PPP_EUR,Purchasing power parities (PPP) in euro,IE,Ireland,2020,58.28
dataflow,ESTAT:ISOC_PBO$DEFAULTVIEW(1.0),Mobile and fixed broadband internet prices by type of offer (least expensive),A,Annual,FI_MBPS100-200_PTV,Package - fixed internet 100-200 Mbps with fixed phone and TV,PPP_EUR,Purchasing power parities (PPP) in euro,IE,Ireland,2021,62.19
dataflow,ESTAT:ISOC_PBO$DEFAULTVIEW(1.0),Mobile and fixed broadband internet prices by type of offer (least expensive),A,Annual,FI_MBPS100-200_PTV,Package - fixed internet 100-200 Mbps with fixed phone and TV,PPP_EUR,Purchasing power parities (PPP) in euro,IE,Ireland,2022,50.03
dataflow,ESTAT:ISOC_PBO$DEFAULTVIEW(1.0),Mobile and fixed broadband internet prices by type of offer (least expensive),A,Annual,FI_MBPS100-200_PTV,Package - fixed internet 100-200 Mbps with fixed phone and TV,PPP_EUR,Purchasing power parities (PPP) in euro,IE,Ireland,2023,49.15
dataflow,ESTAT:ISOC_PBO$DEFAULTVIEW(1.0),Mobile and fixed broadband internet prices by type of offer (least expensive),A,Annual,MI_GB20_C300,Mobile internet - mobile data 20 GB with 300 calls,PPP_EUR,Purchasing power parities (PPP) in euro,IE,Ireland,2019,18.85
dataflow,ESTAT:ISOC_PBO$DEFAULTVIEW(1.0),Mobile and fixed broadband internet prices by type of offer (least expensive),A,Annual,MI_GB20_C300,Mobile internet - mobile data 20 GB with 300 calls,PPP_EUR,Purchasing power parities (PPP) in euro,IE,Ireland,2020,6.79
dataflow,ESTAT:ISOC_PBO$DEFAULTVIEW(1.0),Mobile and fixed broadband internet prices by type of offer (least expensive),A,Annual,MI_GB20_C300,Mobile internet - mobile data 20 GB with 300 calls,PPP_EUR,Purchasing power parities (PPP) in euro,IE,Ireland,2021,9.37
dataflow,ESTAT:ISOC_PBO$DEFAULTVIEW(1.0),Mobile and fixed broadband internet prices by type of offer (least expensive),A,Annual,MI_GB20_C300,Mobile internet - mobile data 20 GB with 300 calls,PPP_EUR,Purchasing power parities (PPP) in euro,IE,Ireland,2022,11.29
dataflow,ESTAT:ISOC_PBO$DEFAULTVIEW(1.0),Mobile and fixed broadband internet prices by type of offer (least expensive),A,Annual,MI_GB20_C300,Mobile internet - mobile data 20 GB with 300 calls,PPP_EUR,Purchasing power parities (PPP) in euro,IE,Ireland,2023,12.61
dataflow,ESTAT:ISOC_PBO$DEFAULTVIEW(1.0),Mobile and fixed broadband internet prices by type of offer (least expensive),A,Annual,MI_GB20_NC,Mobile internet - mobile data 20 GB with no calls,PPP_EUR,Purchasing power parities (PPP) in euro,IE,Ireland,2019,18.85
dataflow,ESTAT:ISOC_PBO$DEFAULTVIEW(1.0),Mobile and fixed broadband internet prices by type of offer (least expensive),A,Annual,MI_GB20_NC,Mobile internet - mobile data 20 GB with no calls,PPP_EUR,Purchasing power parities (PPP) in euro,IE,Ireland,2020,6.79
dataflow,ESTAT:ISOC_PBO$DEFAULTVIEW(1.0),Mobile and fixed broadband internet prices by type of offer (least expensive),A,Annual,MI_GB20_NC,Mobile internet - mobile data 20 GB with no calls,PPP_EUR,Purchasing power parities (PPP) in euro,IE,Ireland,2021,9.37
dataflow,ESTAT:ISOC_PBO$DEFAULTVIEW(1.0),Mobile and fixed broadband internet prices by type of offer (least expensive),A,Annual,MI_GB20_NC,Mobile internet - mobile data 20 GB with no calls,PPP_EUR,Purchasing power parities (PPP) in euro,IE,Ireland,2022,11.29
dataflow,ESTAT:ISOC_PBO$DEFAULTVIEW(1.0),Mobile and fixed broadband internet prices by type of offer (least expensive),A,Annual,MI_GB20_NC,Mobile internet - mobile data 20 GB with no calls,PPP_EUR,Purchasing power parities (PPP) in euro,IE,Ireland,2023,10.93
