Time period,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Germany,3.492990741,3.377167166,4.254612808,0.013414654,-2.954739048,0.997450218,2.774132688,0.876748008,11.50726425,4.178886301,6.499804733,4.884606969,1.954536345,0.301453682,2.453996632,1.010259538,B ..,2.430623615,4.510398659,2.14917135,2.317577573,0.785871138,0.095329377,-1.931364204
Ireland,0.852751846,10.16656478,9.313937579,20.74975611,21.03796843,8.45554997,5.571384841,8.606770329,14.18213877,1.940254223,0.161655142,-6.558392031,-7.329986753,2.077731465,9.961897187,-7.018148821,1.153492577,7.236183405,B ..,0.485598588,5.939501624,3.109654169,-3.28958424,9.804094817
Switzerland,0.334901387,,5.973286675,,3.494221233,,2.193270842,,8.372638752,,5.629308115,,8.360988679,,4.669343469,5.315726929,,3.279644986,,2.665541594,,2.150896962,0.012782374,2.190389483
