STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,unit,Unit of measure,inet_spd,Internet speed,terrtypo,Territorial typology,geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE
dataflow,ESTAT:ISOC_CBS$DEFAULTVIEW(1.0),Broadband internet coverage by speed,A,Annual,PC_HH,Percentage of households,MBPS_GT30,More than 30 megabits per second (Mbps),TOTAL,Total,DE,Germany,2016,,80.7
dataflow,ESTAT:ISOC_CBS$DEFAULTVIEW(1.0),Broadband internet coverage by speed,A,Annual,PC_HH,Percentage of households,MBPS_GT30,More than 30 megabits per second (Mbps),TOTAL,Total,DE,Germany,2017,,84.1
dataflow,ESTAT:ISOC_CBS$DEFAULTVIEW(1.0),Broadband internet coverage by speed,A,Annual,PC_HH,Percentage of households,MBPS_GT30,More than 30 megabits per second (Mbps),TOTAL,Total,DE,Germany,2018,,87.9
dataflow,ESTAT:ISOC_CBS$DEFAULTVIEW(1.0),Broadband internet coverage by speed,A,Annual,PC_HH,Percentage of households,MBPS_GT30,More than 30 megabits per second (Mbps),TOTAL,Total,DE,Germany,2019,,92.2
dataflow,ESTAT:ISOC_CBS$DEFAULTVIEW(1.0),Broadband internet coverage by speed,A,Annual,PC_HH,Percentage of households,MBPS_GT30,More than 30 megabits per second (Mbps),TOTAL,Total,DE,Germany,2020,,94.7
dataflow,ESTAT:ISOC_CBS$DEFAULTVIEW(1.0),Broadband internet coverage by speed,A,Annual,PC_HH,Percentage of households,MBPS_GT30,More than 30 megabits per second (Mbps),TOTAL,Total,DE,Germany,2021,,95.9
dataflow,ESTAT:ISOC_CBS$DEFAULTVIEW(1.0),Broadband internet coverage by speed,A,Annual,PC_HH,Percentage of households,MBPS_GT30,More than 30 megabits per second (Mbps),TOTAL,Total,DE,Germany,2022,,94.2
dataflow,ESTAT:ISOC_CBS$DEFAULTVIEW(1.0),Broadband internet coverage by speed,A,Annual,PC_HH,Percentage of households,MBPS_GT30,More than 30 megabits per second (Mbps),TOTAL,Total,DE,Germany,2023,,96.1
dataflow,ESTAT:ISOC_CBS$DEFAULTVIEW(1.0),Broadband internet coverage by speed,A,Annual,PC_HH,Percentage of households,MBPS_GT30,More than 30 megabits per second (Mbps),TOTAL,Total,DE,Germany,2024,,96.7
dataflow,ESTAT:ISOC_CBS$DEFAULTVIEW(1.0),Broadband internet coverage by speed,A,Annual,PC_HH,Percentage of households,GBPS_GT1,More than 1 gigabit per second (Gbps),TOTAL,Total,IE,Ireland,2019,,15.9
dataflow,ESTAT:ISOC_CBS$DEFAULTVIEW(1.0),Broadband internet coverage by speed,A,Annual,PC_HH,Percentage of households,GBPS_GT1,More than 1 gigabit per second (Gbps),TOTAL,Total,IE,Ireland,2020,,59.7
dataflow,ESTAT:ISOC_CBS$DEFAULTVIEW(1.0),Broadband internet coverage by speed,A,Annual,PC_HH,Percentage of households,GBPS_GT1,More than 1 gigabit per second (Gbps),TOTAL,Total,IE,Ireland,2021,,67.4
dataflow,ESTAT:ISOC_CBS$DEFAULTVIEW(1.0),Broadband internet coverage by speed,A,Annual,PC_HH,Percentage of households,GBPS_GT1,More than 1 gigabit per second (Gbps),TOTAL,Total,IE,Ireland,2022,,68.6
